epoch,loss
0,0.11469816939687293
1,0.07599944024905718
2,0.06690094360413774
3,0.0620
4,0.0590 
5,0.0567
6,0.0550
7,0.0536
8,0.0524
9,0.0514
10,0.0505
11,0.0500
